expId,arch,numRuns,dataset,dataTransform,numLayers,hiddenDim,attnHeads,activation,weightSharing,optimizer,maxEpochs,initialLR,lrDecayFactor,lrDecayPatience,attnDropout,wghtDecay,initScheme,scalScheme,scalHP,useIdMap,useResLin,mulLastAttHead,initA1,initA2,linWghtSharing,bias,linLastLayer,hasOmega,omegaInitVal,linAggrSharing,Note
1,GATE,5,Syn_21,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
2,GATE,5,Syn_21,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
3,GATE,5,Syn_21,,3,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
4,GATE,5,Syn_22,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
5,GATE,5,Syn_22,,3,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
6,GATE,5,Syn_22,,4,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
7,GATE,5,Syn_23,,3,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
8,GATE,5,Syn_23,,4,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
9,GATE,5,Syn_23,,5,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
10,GATE,5,Syn_24,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,0,0,0,0,0,0,1,1,
11,GATE,5,Syn_24,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
12,GATE,5,Syn_24,,5,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
13,GATE,5,Syn_25,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,0,0,0,0,0,0,1,1,
14,GATE,5,Syn_25,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
15,GATE,5,Syn_25,,5,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
16,GATE,5,Syn_26,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
17,GATE,5,Syn_26,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
18,GATE,5,Syn_26,,5,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
19,GATE,5,Syn_27,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
20,GATE,5,Syn_27,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
21,GATE,5,Syn_27,,5,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,0,0,0,0,1,1,
22,GAT,5,Syn_21,,1,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
23,GAT,5,Syn_21,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
24,GAT,5,Syn_21,,3,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
25,GAT,5,Syn_22,,2,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
26,GAT,5,Syn_22,,3,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
27,GAT,5,Syn_22,,4,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
28,GAT,5,Syn_23,,3,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
29,GAT,5,Syn_23,,4,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
30,GAT,5,Syn_23,,5,256,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
