expId,numRuns,dataset,dataTransform,numLayers,hiddenDim,activation,optimizer,maxEpochs,initialLR,lrDecayFactor,lrDecayPatience,wghtDecay,initScheme,scalScheme,scalHP,useIdMap,useResLin,bias,linAggrSharing,Note
1,10,roman-empire,,5,64,relu,Adam,5000,0.001,1,,0,LLortho,,,0,0,0,1,
2,10,amazon-ratings,,5,64,relu,Adam,5000,0.001,1,,0,LLortho,,,0,0,0,1,
3,10,questions,,5,64,relu,Adam,5000,0.001,1,,0,LLortho,,,0,0,0,1,
4,10,minesweeper,,5,64,relu,Adam,5000,0.001,1,,0,LLortho,,,0,0,0,1,
5,10,tolokers,,5,64,relu,Adam,5000,0.001,1,,0,LLortho,,,0,0,0,1,
6,10,roman-empire,,10,64,relu,Adam,5000,0.0005,1,,0,LLortho,,,0,0,0,1,
7,10,amazon-ratings,,10,64,relu,Adam,5000,0.0005,1,,0,LLortho,,,0,0,0,1,
8,10,questions,,10,64,relu,Adam,5000,0.0005,1,,0,LLortho,,,0,0,0,1,
9,10,minesweeper,,10,64,relu,Adam,5000,0.0005,1,,0,LLortho,,,0,0,0,1,
10,10,tolokers,,10,64,relu,Adam,5000,0.0005,1,,0,LLortho,,,0,0,0,1,
