expId,numRuns,dataset,dataTransform,numLayers,gatLayers,hiddenDim,attnHeads,activation,weightSharing,optimizer,maxEpochs,initialLR,lrDecayFactor,lrDecayPatience,attnDropout,wghtDecay,initScheme,scalScheme,scalHP,useIdMap,useResLin,mulLastAttHead,normalization
1,10,Syn_21,,5,"2,4",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
2,10,roman-empire,,10,"2,4,6,8",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
3,10,amazon-ratings,,5,"2,4",64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,
4,10,amazon-ratings,,10,"2,4,6,8",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
5,10,questions,,5,"2,4",64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,
6,10,questions,,10,"2,4,6,8",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
7,10,minesweeper,,5,"2,4",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
8,10,minesweeper,,10,"2,4,6,8",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
9,10,tolokers,,5,"2,4",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
10,10,tolokers,,10,"2,4,6,8",64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,
